pair_index,label_a,label_b,clip_a_path,clip_b_path,output_path,duration_sec
1,people crowd,people sobbing,clips/vggsound_raw/01_people_crowd__JqK8R08i5_M_280_10s.mp4,clips/vggsound_raw/02_people_sobbing__dqtWOGgIuHo_20_10s.mp4,outputs/vggsound_ab/01_people_crowd__people_sobbing_abab_5s.mp4,20.000
2,"male speech, man speaking",crow cawing,clips/vggsound_raw/03_male_speech_man_speaking__79rEAubs9VM_30_10s.mp4,clips/vggsound_raw/04_crow_cawing__2YuaElNCUZ8_28_10s.mp4,outputs/vggsound_ab/02_male_speech_man_speaking__crow_cawing_abab_5s.mp4,20.000
3,dinosaurs bellowing,playing congas,clips/vggsound_raw/05_dinosaurs_bellowing__9CB84EOZyc8_148_10s.mp4,clips/vggsound_raw/06_playing_congas__79LyHiS908U_35_10s.mp4,outputs/vggsound_ab/03_dinosaurs_bellowing__playing_congas_abab_5s.mp4,20.000
4,golf driving,dog howling,clips/vggsound_raw/07_golf_driving__-dLTuwnbkbI_56_10s.mp4,clips/vggsound_raw/08_dog_howling__BuOBYpklASM_6_10s.mp4,outputs/vggsound_ab/04_golf_driving__dog_howling_abab_5s.mp4,20.000
5,plastic bottle crushing,playing ukulele,clips/vggsound_raw/09_plastic_bottle_crushing__ZGRb2jL7TjQ_222_10s.mp4,clips/vggsound_raw/10_playing_ukulele__oMUtBlKMWgI_25_10s.mp4,outputs/vggsound_ab/05_plastic_bottle_crushing__playing_ukulele_abab_5s.mp4,20.000
6,train whistling,child singing,clips/vggsound_raw/11_train_whistling__aruSerGYLL0_191_10s.mp4,clips/vggsound_raw/12_child_singing__8Yc13fZTpr0_117_10s.mp4,outputs/vggsound_ab/06_train_whistling__child_singing_abab_5s.mp4,20.000
7,children shouting,opening or closing drawers,clips/vggsound_raw/13_children_shouting__9k7Khcf6--E_5_10s.mp4,clips/vggsound_raw/14_opening_or_closing_drawers__g3W9anKIDvQ_167_10s.mp4,outputs/vggsound_ab/07_children_shouting__opening_or_closing_drawers_abab_5s.mp4,20.000
8,sea waves,"subway, metro, underground",clips/vggsound_raw/15_sea_waves___RnZub-ZSus_48_10s.mp4,clips/vggsound_raw/16_subway_metro_underground__KoJ1-kvWrR8_70_10s.mp4,outputs/vggsound_ab/08_sea_waves__subway_metro_underground_abab_5s.mp4,20.000
9,scuba diving,playing mandolin,clips/vggsound_raw/17_scuba_diving__R_ZAZU3suj0_10_10s.mp4,clips/vggsound_raw/18_playing_mandolin__Sqq3e4kcPjM_76_10s.mp4,outputs/vggsound_ab/09_scuba_diving__playing_mandolin_abab_5s.mp4,20.000
10,tapping guitar,playing tennis,clips/vggsound_raw/19_tapping_guitar__qlyMl7FRoNk_184_10s.mp4,clips/vggsound_raw/20_playing_tennis__vgopw8UrTzo_63_10s.mp4,outputs/vggsound_ab/10_tapping_guitar__playing_tennis_abab_5s.mp4,20.000
