index,label,youtube_id,start_sec,split,duration_sec,path,url
1,people crowd,JqK8R08i5_M,280,train,10.000,clips/vggsound_raw/01_people_crowd__JqK8R08i5_M_280_10s.mp4,https://www.youtube.com/watch?v=JqK8R08i5_M
2,people sobbing,dqtWOGgIuHo,20,train,10.000,clips/vggsound_raw/02_people_sobbing__dqtWOGgIuHo_20_10s.mp4,https://www.youtube.com/watch?v=dqtWOGgIuHo
3,"male speech, man speaking",79rEAubs9VM,30,train,10.000,clips/vggsound_raw/03_male_speech_man_speaking__79rEAubs9VM_30_10s.mp4,https://www.youtube.com/watch?v=79rEAubs9VM
4,crow cawing,2YuaElNCUZ8,28,train,10.000,clips/vggsound_raw/04_crow_cawing__2YuaElNCUZ8_28_10s.mp4,https://www.youtube.com/watch?v=2YuaElNCUZ8
5,dinosaurs bellowing,9CB84EOZyc8,148,train,10.000,clips/vggsound_raw/05_dinosaurs_bellowing__9CB84EOZyc8_148_10s.mp4,https://www.youtube.com/watch?v=9CB84EOZyc8
6,playing congas,79LyHiS908U,35,train,10.000,clips/vggsound_raw/06_playing_congas__79LyHiS908U_35_10s.mp4,https://www.youtube.com/watch?v=79LyHiS908U
7,golf driving,-dLTuwnbkbI,56,train,10.000,clips/vggsound_raw/07_golf_driving__-dLTuwnbkbI_56_10s.mp4,https://www.youtube.com/watch?v=-dLTuwnbkbI
8,dog howling,BuOBYpklASM,6,train,10.000,clips/vggsound_raw/08_dog_howling__BuOBYpklASM_6_10s.mp4,https://www.youtube.com/watch?v=BuOBYpklASM
9,plastic bottle crushing,ZGRb2jL7TjQ,222,train,10.000,clips/vggsound_raw/09_plastic_bottle_crushing__ZGRb2jL7TjQ_222_10s.mp4,https://www.youtube.com/watch?v=ZGRb2jL7TjQ
10,playing ukulele,oMUtBlKMWgI,25,train,10.000,clips/vggsound_raw/10_playing_ukulele__oMUtBlKMWgI_25_10s.mp4,https://www.youtube.com/watch?v=oMUtBlKMWgI
11,train whistling,aruSerGYLL0,191,train,10.000,clips/vggsound_raw/11_train_whistling__aruSerGYLL0_191_10s.mp4,https://www.youtube.com/watch?v=aruSerGYLL0
12,child singing,8Yc13fZTpr0,117,train,10.000,clips/vggsound_raw/12_child_singing__8Yc13fZTpr0_117_10s.mp4,https://www.youtube.com/watch?v=8Yc13fZTpr0
13,children shouting,9k7Khcf6--E,5,train,10.000,clips/vggsound_raw/13_children_shouting__9k7Khcf6--E_5_10s.mp4,https://www.youtube.com/watch?v=9k7Khcf6--E
14,opening or closing drawers,g3W9anKIDvQ,167,train,10.000,clips/vggsound_raw/14_opening_or_closing_drawers__g3W9anKIDvQ_167_10s.mp4,https://www.youtube.com/watch?v=g3W9anKIDvQ
15,sea waves,_RnZub-ZSus,48,train,10.000,clips/vggsound_raw/15_sea_waves___RnZub-ZSus_48_10s.mp4,https://www.youtube.com/watch?v=_RnZub-ZSus
16,"subway, metro, underground",KoJ1-kvWrR8,70,train,10.000,clips/vggsound_raw/16_subway_metro_underground__KoJ1-kvWrR8_70_10s.mp4,https://www.youtube.com/watch?v=KoJ1-kvWrR8
17,scuba diving,R_ZAZU3suj0,10,train,10.000,clips/vggsound_raw/17_scuba_diving__R_ZAZU3suj0_10_10s.mp4,https://www.youtube.com/watch?v=R_ZAZU3suj0
18,playing mandolin,Sqq3e4kcPjM,76,train,10.000,clips/vggsound_raw/18_playing_mandolin__Sqq3e4kcPjM_76_10s.mp4,https://www.youtube.com/watch?v=Sqq3e4kcPjM
19,tapping guitar,qlyMl7FRoNk,184,train,10.000,clips/vggsound_raw/19_tapping_guitar__qlyMl7FRoNk_184_10s.mp4,https://www.youtube.com/watch?v=qlyMl7FRoNk
20,playing tennis,vgopw8UrTzo,63,train,10.000,clips/vggsound_raw/20_playing_tennis__vgopw8UrTzo_63_10s.mp4,https://www.youtube.com/watch?v=vgopw8UrTzo
